Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 7-19-2020  8:46PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  VideopacSDCart.ngd
output file: VideopacSDCart_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,RAMA<14>,O,I/O/GTS3,OUTPUT,,,,,,,,,
P2,RAMA<12>,O,I/O/GTS4,OUTPUT,,,,,,,,,
P3,RAMWE,O,I/O/GTS1,OUTPUT,,,,,,,,,
P4,RAMA<7>,O,I/O/GTS2,OUTPUT,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,RAMA<13>,O,I/O,OUTPUT,,,,,,,,,
P7,RAMA<6>,O,I/O,OUTPUT,,,,,,,,,
P8,RAMA<8>,O,I/O,OUTPUT,,,,,,,,,
P9,RAMA<5>,O,I/O,OUTPUT,,,,,,,,,
P10,RAMA<9>,O,I/O,OUTPUT,,,,,,,,,
P11,RAMA<4>,O,I/O,OUTPUT,,,,,,,,,
P12,RAMA<11>,O,I/O,OUTPUT,,,,,,,,,
P13,RAMA<3>,O,I/O,OUTPUT,,,,,,,,,
P14,RAMOE,O,I/O,OUTPUT,,,,,,,,,
P15,RAMA<2>,O,I/O,OUTPUT,,,,,,,,,
P16,RAMA<10>,O,I/O,OUTPUT,,,,,,,,,
P17,RAMA<1>,O,I/O,OUTPUT,,,,,,,,,
P18,RAMCS,O,I/O,OUTPUT,,,,,,,,,
P19,RAMA<0>,O,I/O,OUTPUT,,,,,,,,,
P20,RAMD<7>,I/O,I/O,BIDIR,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,RAMD<0>,I/O,I/O/GCK1,BIDIR,,,,,,,,,
P23,RAMD<6>,I/O,I/O/GCK2,BIDIR,,,,,,,,,
P24,RAMD<1>,I/O,I/O,BIDIR,,,,,,,,,
P25,RAMD<5>,I/O,I/O,BIDIR,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,RAMD<2>,I/O,I/O/GCK3,BIDIR,,,,,,,,,
P28,RAMD<4>,I/O,I/O,BIDIR,,,,,,,,,
P29,RAMD<3>,I/O,I/O,BIDIR,,,,,,,,,
P30,BUSA<9>,I,I/O,INPUT,,,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,BUSA<8>,I,I/O,INPUT,,,,,,,,,
P33,BUSA<11>,I,I/O,INPUT,,,,,,,,,
P34,BUSA<6>,I,I/O,INPUT,,,,,,,,,
P35,P10,I,I/O,INPUT,,,,,,,,,
P36,BUSA<7>,I,I/O,INPUT,,,,,,,,,
P37,P11,I,I/O,INPUT,,,,,,,,,
P38,VCC,,VCCIO,,,,,,,,,,
P39,BUSA<5>,I,I/O,INPUT,,,,,,,,,
P40,P14,I,I/O,INPUT,,,,,,,,,
P41,BUSA<4>,I,I/O,INPUT,,,,,,,,,
P42,BUSA<10>,I,I/O,INPUT,,,,,,,,,
P43,BUSA<3>,I,I/O,INPUT,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,BUSD<7>,I/O,I/O,BIDIR,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,BUSA<2>,I,I/O,INPUT,,,,,,,,,
P50,BUSD<6>,I/O,I/O,BIDIR,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,BUSA<1>,I,I/O,INPUT,,,,,,,,,
P53,BUSD<5>,I/O,I/O,BIDIR,,,,,,,,,
P54,BUSA<0>,I,I/O,INPUT,,,,,,,,,
P55,BUSD<4>,I/O,I/O,BIDIR,,,,,,,,,
P56,PSEN,I,I/O,INPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,BUSD<3>,I/O,I/O,BIDIR,,,,,,,,,
P59,EXTRAM,I,I/O,INPUT,,,,,,,,,
